epoch,acc,loss,lr,val_acc,val_loss
0,0.035542582417582416,5.341031873619164,1e-05,0.04598214285714286,3.35661084992545
1,0.03777472527472527,3.3729968621180606,1e-05,0.07678571428571429,3.3461692741938998
2,0.0571771978021978,3.3507529562646217,1e-05,0.07723214285714286,3.280188172204154
3,0.08791208791208792,3.2534972494775123,1e-05,0.14955357142857142,2.995286628178188
4,0.11692994505494506,3.0707957168201823,1e-05,0.21339285714285713,2.7186591829572406
5,0.16037087912087913,2.8651569963811516,1e-05,0.2883928571428571,2.3800323554447718
6,0.22647664835164835,2.57970476936508,1e-05,0.36428571428571427,2.084458988053458
7,0.28828983516483514,2.334945424572452,1e-05,0.40580357142857143,1.9226440361567907
8,0.3228021978021978,2.161841197328253,1e-05,0.4700892857142857,1.6922156027385167
9,0.37688873626373626,1.9814498738928155,1e-05,0.5196428571428572,1.5578642470496042
10,0.4101991758241758,1.8446617860060472,1e-05,0.5160714285714286,1.513886148588998
11,0.4519230769230769,1.744720194365952,1e-05,0.59375,1.294923598425729
12,0.4764766483516483,1.6148160682929742,1e-05,0.6053571428571428,1.2506891097341264
13,0.5171703296703297,1.4952932203209006,1e-05,0.6330357142857143,1.144802929673876
14,0.5381181318681318,1.4381054823215191,1e-05,0.6392857142857142,1.1622941868645804
15,0.5479052197802198,1.3926911602963459,1e-05,0.671875,1.0266657880374364
16,0.5841346153846154,1.2769140149210836,1e-05,0.671875,1.0098064984594073
17,0.5887706043956044,1.256011820101476,1e-05,0.6660714285714285,1.0107849955558776
18,0.6031936813186813,1.2139060962331163,1e-05,0.6821428571428572,0.9817972387586321
19,0.6370192307692307,1.1442191371550927,1e-05,0.7160714285714286,0.8819528732981
20,0.6383928571428571,1.1207048585126689,1e-05,0.6897321428571429,0.938903818811689
21,0.6519574175824175,1.0612597720963615,1e-05,0.7191964285714286,0.8966697113854545
22,0.6533310439560439,1.0703024464649158,1e-05,0.7303571428571428,0.8598273992538452
23,0.667239010989011,1.0022231681006295,1e-05,0.7285714285714285,0.8242703063147409
24,0.6905906593406593,0.9266193784200228,1e-05,0.7276785714285714,0.858092200756073
25,0.7051854395604396,0.8810228633356618,1e-05,0.7665178571428571,0.7275528260639735
26,0.7139423076923077,0.865554330768166,1e-05,0.7352678571428571,0.7996624759265355
27,0.7211538461538461,0.8559260984043499,1e-05,0.7785714285714286,0.6842794469424657
28,0.7328296703296703,0.7983136822234144,1e-05,0.7714285714285715,0.7128281261239733
29,0.7393543956043956,0.7828612759873107,1e-05,0.775,0.6915920112814222
30,0.7285370879120879,0.8088730347680522,1e-05,0.7745535714285714,0.6864666163921356
31,0.7465659340659341,0.752935236626929,1e-05,0.7754464285714285,0.6761244552476066
32,0.740728021978022,0.7780520215139284,1e-05,0.79375,0.6291148032460894
33,0.7594436813186813,0.7126501742955093,1e-05,0.7875,0.6387990185192653
34,0.7532623626373627,0.7215336145280482,1e-05,0.8026785714285715,0.6241550445556641
35,0.7625343406593407,0.6994710486013811,1e-05,0.7839285714285714,0.6661998893533434
36,0.7965315934065934,0.6058270266422858,1e-05,0.79375,0.6153661106313978
37,0.8039148351648352,0.5773637998890091,1e-05,0.8008928571428572,0.6059497611863273
38,0.7961881868131868,0.595950845178667,1e-05,0.8165178571428572,0.5662603616714478
39,0.804945054945055,0.5758119906697955,1e-05,0.809375,0.5692150294780731
40,0.8133585164835165,0.5457844534418085,1e-05,0.8209821428571429,0.5555937434945788
41,0.8173076923076923,0.5382931880898528,1e-05,0.815625,0.5860309847763606
42,0.8104395604395604,0.560982155930865,1e-05,0.8004464285714286,0.6222472012042999
43,0.8203983516483516,0.5281841496189872,1e-05,0.8022321428571428,0.6228568562439509
44,0.821771978021978,0.5212980829752408,1e-05,0.8276785714285714,0.5391905341829573
45,0.8300137362637363,0.5080142080128848,1e-05,0.83125,0.5228404564516885
46,0.8322458791208791,0.4935613697046762,1e-05,0.8258928571428571,0.5463420757225581
47,0.8279532967032966,0.513412981570422,1e-05,0.8174107142857143,0.5582152119704655
48,0.8535370879120879,0.426759197980493,1e-05,0.8308035714285714,0.5204801099640982
49,0.8531936813186813,0.40415724849962925,1e-05,0.828125,0.5378254583903721
50,0.8595467032967034,0.4088264503976801,1e-05,0.8165178571428572,0.5774222373962402
51,0.8638392857142857,0.40716016898443413,1e-05,0.8303571428571429,0.5367623014109475
52,0.8681318681318682,0.3853416064610848,1e-05,0.834375,0.5502139674765724
53,0.865728021978022,0.3813063783960028,1e-05,0.815625,0.6259582230022975
54,0.8677884615384616,0.3756013443836799,1e-05,0.8410714285714286,0.4973461891923632
55,0.8725961538461539,0.3765366363983888,1e-05,0.8464285714285714,0.5046651525156839
56,0.8720810439560439,0.35648645075795415,1e-05,0.8433035714285714,0.5231408340590341
57,0.8693337912087912,0.38275557314301584,1e-05,0.8263392857142857,0.5864517739840917
58,0.8708791208791209,0.37933735991572287,1e-05,0.8285714285714286,0.5265962626252856
59,0.8774038461538461,0.3577902361259356,1e-05,0.8330357142857143,0.5490100043160575
60,0.8949175824175825,0.2930235971625035,1e-05,0.8446428571428571,0.5205431767872402
61,0.9055631868131868,0.2690819999673864,1e-05,0.8495535714285715,0.5062171982867377
62,0.901614010989011,0.273852947812814,1e-05,0.8401785714285714,0.5365220367908478
63,0.8956043956043956,0.2897396131858721,1e-05,0.8455357142857143,0.4988257076059069
64,0.9112293956043956,0.264214820095471,1e-05,0.8540178571428572,0.48071922319275995
65,0.9012706043956044,0.2882687338105925,1e-05,0.859375,0.492888149193355
66,0.9076236263736264,0.26501029074847043,1e-05,0.853125,0.4930050952093942
67,0.9019574175824175,0.27636604535055687,1e-05,0.8611607142857143,0.47212616077491215
68,0.9096840659340659,0.25467130631863416,1e-05,0.8410714285714286,0.5460210195609502
69,0.9083104395604396,0.2579673355916044,1e-05,0.8299107142857143,0.6215561015265328
70,0.9086538461538461,0.2627374136840904,1e-05,0.8544642857142857,0.4991537306989942
71,0.9129464285714286,0.2553172307191314,1e-05,0.8544642857142857,0.501613301890237
72,0.9222184065934066,0.22339826159097337,1e-05,0.8589285714285714,0.5574742112840925
73,0.932864010989011,0.17927328849231805,1e-05,0.8700892857142857,0.47130356771605353
74,0.9411057692307693,0.1768805185680861,1e-05,0.8611607142857143,0.5217301513467516
75,0.9344093406593407,0.1893691146684872,1e-05,0.8549107142857143,0.5334235353129251
76,0.9335508241758241,0.19424119653118835,1e-05,0.8633928571428572,0.4980269815240588
77,0.9314903846153846,0.1947360810833973,1e-05,0.8678571428571429,0.4987257046358926
78,0.9356112637362637,0.19471163433659208,1e-05,0.8674107142857143,0.5058121536459241
79,0.9349244505494505,0.1918636668923792,1e-05,0.8589285714285714,0.47831722923687525
80,0.9362980769230769,0.17712362417644198,1e-05,0.8647321428571428,0.498990204504558
81,0.9369848901098901,0.18088279222394085,1e-05,0.8575892857142857,0.5292999190943581
